algorithm,episode,mean_score,sd,ci_halfwidth,n_seeds
DQN,1,-0.026597010109323218,0.06495539134063617,0.0242547417421175,30
DQN,20,-0.02096907599285537,0.05938340223754559,0.022174126817074213,30
DQN,40,0.07965660657822397,0.060725191614581654,0.02267515920469631,30
DQN,60,0.048910725981336854,0.06479543979362502,0.024195014852879587,30
DQN,80,0.05808295830181243,0.07528669742261052,0.028112514833853002,30
DQN,100,0.06078643959989484,0.05987481255731981,0.022357622446144167,30
DQN,120,0.05998028923547318,0.04826239779715803,0.018021475512119422,30
DQN,140,0.05568915539867942,0.055136603839972084,0.0205883462338458,30
DQN,160,0.061238547439444936,0.048364360290968085,0.01805954893302725,30
DQN,180,0.06208192568002271,0.04848712398623678,0.018105389650211686,30
DQN,200,0.05446212328701525,0.0364653643036742,0.013616390810111708,30
DQN,220,0.05004425487314157,0.044884316276283504,0.016760079141755736,30
DQN,240,0.04999381429246463,0.04614944289164459,0.01723248518370757,30
DQN,260,0.039360136488454,0.059689140445018996,0.022288291339986204,30
DQN,280,0.044535959919828956,0.050580401311893806,0.018887032249548602,30
DQN,300,0.04281951201137689,0.052496779236567974,0.01960261952696969,30
DQN,320,0.05050586769071767,0.05139142635373806,0.019189873977237742,30
DQN,340,0.0523160418425827,0.0537914421625794,0.020086054608575554,30
DQN,360,0.03920284281533643,0.047065817725201735,0.017574665170128487,30
DQN,380,0.052564085361192836,0.0475400354906862,0.0177517409939201,30
DQN,400,0.04908391563891626,0.049262672800738504,0.0183949843369021,30
DQN,420,0.05941020705157713,0.04761888152187131,0.017781182585823643,30
DQN,440,0.05427953916996467,0.04893545721651838,0.018272800029711416,30
DQN,460,0.05443350178121664,0.049139410701505494,0.018348957512618808,30
DQN,480,0.05369703868735031,0.04789311116267142,0.017883581616579373,30
DQN,500,0.06231549962861875,0.05154647729482612,0.019247770950150143,30
DQN,520,0.06216362652271089,0.048385090039980504,0.018067289548521943,30
DQN,540,0.06582455969573694,0.04290849616746512,0.016022295787992892,30
DQN,560,0.0625576668576092,0.049853136814049556,0.018615467223007262,30
DQN,580,0.07311027814555236,0.05268819881827216,0.0196740967734737,30
DQN,600,0.05435229943180006,0.05795852398560424,0.02164206853366616,30
DQN,620,0.07954802749412031,0.040073900189562285,0.014963840254614147,30
DQN,640,0.06232625929833333,0.03440171111165696,0.01284581004407203,30
DQN,660,0.06933930944334724,0.04638065051964215,0.01731881953086714,30
DQN,680,0.07575366772931032,0.048614647514214605,0.01815300771813965,30
DQN,700,0.06932638351966912,0.054565030148690505,0.02037491710991178,30
MADRL-QMIX,1,0.011426373029412526,0.15354997684667168,0.057336503653611384,30
MADRL-QMIX,20,0.01604963827483572,0.15412582095069918,0.05755152737587123,30
MADRL-QMIX,40,0.1500639365781513,0.10486475818944654,0.03915714423759357,30
MADRL-QMIX,60,0.1195809373206513,0.09998966004252356,0.037336752672234484,30
MADRL-QMIX,80,0.12286509109999136,0.13197885155280403,0.04928171309210333,30
MADRL-QMIX,100,0.11399475283232678,0.10456444550587704,0.03904500563860243,30
MADRL-QMIX,120,0.058295167131801745,0.12038577486488522,0.044952787112927176,30
MADRL-QMIX,140,0.0743114493694706,0.11357923235711403,0.04241118237042055,30
MADRL-QMIX,160,0.08857251697169359,0.10330221650971903,0.038573681585443005,30
MADRL-QMIX,180,0.07907958621925253,0.11468428435994342,0.04282381556971387,30
MADRL-QMIX,200,0.08145915971659257,0.09879737147849936,0.036891544805641344,30
MADRL-QMIX,220,0.11763445005119927,0.08000363106873054,0.029873846803994977,30
MADRL-QMIX,240,0.05456192575160435,0.09846295587109498,0.036766671965608864,30
MADRL-QMIX,260,0.09052442238126476,0.10232456141532809,0.038208619173564606,30
MADRL-QMIX,280,0.059059991995823825,0.11177812311536192,0.041738637126578576,30
MADRL-QMIX,300,0.05905020206282116,0.08878682402894962,0.03315354495567133,30
MADRL-QMIX,320,0.07708428896220623,0.08748127725434258,0.032666045778208315,30
MADRL-QMIX,340,0.04882856934685417,0.11195374532419365,0.04180421553710736,30
MADRL-QMIX,360,0.09534347061712188,0.1055652507161904,0.039418712445832914,30
MADRL-QMIX,380,0.09235806234199186,0.10854901756220629,0.04053286929679061,30
MADRL-QMIX,400,0.10734780081543138,0.11450567815448356,0.04275712291653208,30
MADRL-QMIX,420,0.09736910120598084,0.10342382870215727,0.03861909232440405,30
