n_ris,arm,se_bps_hz,se_ci,urllc_violation,viol_ci
16,no_ris,0.1374854073880622,9.766267214596925e-05,0.9996888888888887,9.76973907391525e-05
16,random_phase,0.13775977014735166,9.803661962782871e-05,0.9996777777777778,0.00010583416624239091
16,alternating_opt,0.14618214990820327,9.820292944579785e-05,0.9981888888888888,0.00025463078535732485
32,no_ris,0.13741076977618943,0.00010309247393184107,0.9997555555555555,0.00012201232666081489
32,random_phase,0.13794197535868333,0.00010369143568985718,0.9996888888888887,0.00012201232666081595
32,alternating_opt,0.16203209434400587,0.00010068021076128415,0.9799888888888889,0.000921916818176046
64,no_ris,0.13743622271195574,0.0001170894817857919,0.9997111111111111,0.0001070886648026745
64,random_phase,0.13850569866443121,0.00011721000523891371,0.9996555555555555,0.00011548922817389137
64,alternating_opt,0.21475702470711291,0.00014040171430334473,0.23163333333333336,0.0025303161129699055
128,no_ris,0.1373375871375244,0.00011213593157938036,0.999611111111111,0.0001701089847951752
128,random_phase,0.1394662604746569,0.00012314701133286012,0.9994222222222222,0.00018471336599443762
128,alternating_opt,0.3915883948528757,0.00014206370297703728,0.0,0.0
256,no_ris,0.1374492002765293,9.50978484915653e-05,0.9998444444444445,7.111475858977734e-05
256,random_phase,0.14170067893510505,9.466197739081797e-05,0.9987777777777779,0.0002580693162556703
256,alternating_opt,0.9167121138807212,0.00017981985208130068,0.0,0.0
512,no_ris,0.13754113661403264,0.00010599181736221728,0.9996333333333334,0.00011943093384403598
512,random_phase,0.14604706594586908,0.00015007621871978284,0.9935111111111112,0.0006015963092022135
512,alternating_opt,2.046266283630475,0.0002032512786757829,0.0,0.0
